HRU_ID,2012,2013,2014,2015,2016
2590,2,2,2,2,2
2589,2,2,2,2,2
2850,16,-999,-999,-999,-999
3041,2,2,2,2,2
3040,2,2,2,2,2
1350,16,-999,-999,-999,-999
3037,2,2,2,2,2
3036,2,2,2,2,2
3039,5,5,5,5,5
3038,5,5,5,5,5
3033,2,2,2,2,2
3032,2,2,2,2,2
3035,2,2,2,2,2
3034,2,2,2,2,2
3265,2,2,2,2,2
1874,2,2,2,2,2
1873,2,2,2,2,2
1872,2,2,2,2,2
1871,15,-999,-999,-999,-999
1878,2,2,2,2,2
1877,2,2,2,2,2
1876,2,2,2,2,2
1875,28,19,19,19,19
1880,15,-999,-999,-999,-999
1879,15,-999,-999,-999,-999
2210,15,-999,-999,-999,-999
2209,16,-999,-999,-999,-999
2460,2,2,2,2,2
2459,2,2,2,2,2
884,2,2,2,2,2
2202,-999,-999,-999,-999,-999
2201,16,-999,-999,-999,-999
2204,15,-999,-999,-999,-999
2203,16,-999,-999,-999,-999
2206,16,-999,-999,-999,-999
2205,16,-999,-999,-999,-999
2208,2,2,2,2,2
2207,2,2,2,2,2
936,28,19,28,19,28
3235,2,2,2,2,2
3234,2,2,2,2,2
3233,2,2,2,2,2
3232,2,2,2,2,2
1502,28,19,28,19,28
3238,2,2,2,2,2
3237,2,2,2,2,2
3236,2,2,2,2,2
1498,28,19,28,19,28
1497,28,19,28,19,28
1500,28,19,28,19,28
1499,28,19,28,19,28
1494,16,-999,-999,-999,-999
1493,28,19,28,19,28
1496,28,19,28,19,28
1495,28,19,28,19,28
2138,2,2,2,2,2
2137,15,-999,-999,-999,-999
2136,15,-999,-999,-999,-999
2135,2,2,2,2,2
3437,28,19,19,19,19
2133,2,2,2,2,2
2132,2,2,2,2,2
2131,2,2,2,2,2
3441,5,5,5,5,5
3440,28,19,19,19,19
2140,2,2,2,2,2
2139,2,2,2,2,2
1718,2,2,2,2,2
1717,2,2,2,2,2
1720,5,5,5,5,5
1407,15,-999,-999,-999,-999
1714,5,5,5,5,5
1713,5,5,5,5,5
1716,2,2,2,2,2
1403,2,2,2,2,2
3253,16,-999,-999,-999,-999
324,11,-999,-999,-999,-999
327,5,5,5,5,5
326,5,5,5,5,5
1722,2,2,2,2,2
1721,2,2,2,2,2
3259,15,-999,-999,-999,-999
322,52,52,52,52,52
1223,11,-999,-999,-999,-999
2370,2,2,2,2,2
2369,2,2,2,2,2
2368,16,-999,-999,-999,-999
2367,16,-999,-999,-999,-999
2366,2,2,2,2,2
2365,2,2,2,2,2
654,2,2,2,2,2
2363,2,2,2,2,2
2362,2,2,2,2,2
2361,2,2,2,2,2
435,52,52,52,52,52
434,52,52,52,52,52
437,5,5,5,5,5
1336,16,-999,-999,-999,-999
1335,16,-999,-999,-999,-999
1334,16,-999,-999,-999,-999
1333,16,-999,-999,-999,-999
1340,16,-999,-999,-999,-999
1339,16,-999,-999,-999,-999
1338,16,-999,-999,-999,-999
1337,16,-999,-999,-999,-999
1612,16,-999,-999,-999,-999
1611,16,-999,-999,-999,-999
1342,16,-999,-999,-999,-999
1341,16,-999,-999,-999,-999
2781,16,-999,-999,-999,-999
2780,16,-999,-999,-999,-999
430,2,2,2,2,2
1832,2,2,2,2,2
1831,2,2,2,2,2
433,52,52,52,52,52
283,15,-999,-999,-999,-999
1824,2,2,2,2,2
1823,2,2,2,2,2
1826,2,2,2,2,2
1825,2,2,2,2,2
1828,2,2,2,2,2
1827,2,2,2,2,2
1830,2,2,2,2,2
1829,2,2,2,2,2
31,8,-999,-999,-999,-999
30,8,-999,-999,-999,-999
33,8,-999,-999,-999,-999
32,8,-999,-999,-999,-999
35,16,-999,-999,-999,-999
34,16,-999,-999,-999,-999
788,15,-999,-999,-999,-999
787,5,5,5,5,5
39,8,-999,-999,-999,-999
38,8,-999,-999,-999,-999
550,11,-999,-999,-999,-999
549,11,-999,-999,-999,-999
548,11,-999,-999,-999,-999
547,11,-999,-999,-999,-999
546,11,-999,-999,-999,-999
545,11,-999,-999,-999,-999
544,11,-999,-999,-999,-999
543,16,-999,-999,-999,-999
542,5,5,5,5,5
541,5,5,5,5,5
3291,5,5,5,5,5
3290,5,5,5,5,5
3283,5,5,5,5,5
3282,5,5,5,5,5
3285,2,2,2,2,2
3284,5,5,5,5,5
3287,2,2,2,2,2
3286,2,2,2,2,2
3289,5,5,5,5,5
3288,2,2,2,2,2
255,28,19,28,19,28
254,52,52,52,52,52
257,11,-999,-999,-999,-999
